Week,Gasoline
05/18/2018,9689
05/11/2018,9531
05/4/2018,9775
04/27/2018,9090
04/20/2018,9083
04/13/2018,9857
04/6/2018,9273
03/30/2018,9203
03/23/2018,9208
03/16/2018,9324
03/9/2018,9642
03/2/2018,9276
02/23/2018,8860
02/16/2018,9002
02/9/2018,9059
02/2/2018,9110
01/26/2018,9044
01/19/2018,8697
01/12/2018,8668
01/5/2018,8814
12/29/2017,8650
12/22/2017,9485
12/15/2017,9426
12/8/2017,9091
12/1/2017,8895
11/24/2017,8724
11/17/2017,9595
11/10/2017,9172
11/3/2017,9496
10/27/2017,9461
10/20/2017,9314
10/13/2017,9136
10/6/2017,9480
09/29/2017,9241
09/22/2017,9522
09/15/2017,9441
09/8/2017,9619
09/1/2017,9163
08/25/2017,9846
08/18/2017,9629
08/11/2017,9522
08/4/2017,9797
07/28/2017,9842
07/21/2017,9821
07/14/2017,9592
07/7/2017,9786
06/30/2017,9705
06/23/2017,9538
06/16/2017,9816
06/9/2017,9269
06/2/2017,9317
05/26/2017,9822
05/19/2017,9704
05/12/2017,9452
05/5/2017,9408
04/28/2017,9156
04/21/2017,9206
04/14/2017,9223
04/7/2017,9275
03/31/2017,9245
03/24/2017,9524
03/17/2017,9200
03/10/2017,9254
03/3/2017,9268
02/24/2017,8686
02/17/2017,8663
02/10/2017,8433
02/3/2017,8941
01/27/2017,8310
01/20/2017,8039
01/13/2017,8069
01/6/2017,8470
12/30/2016,8465
12/23/2016,9278
12/16/2016,9269
12/9/2016,8874
12/2/2016,8757
11/25/2016,9080
11/18/2016,9024
11/11/2016,9359
11/4/2016,9213
10/28/2016,9183
10/21/2016,9118
10/14/2016,8798
10/7/2016,9264
09/30/2016,9390
09/23/2016,8880
09/16/2016,9650
09/9/2016,9406
09/2/2016,9595
08/26/2016,9511
08/19/2016,9659
08/12/2016,9762
08/5/2016,9769
07/29/2016,9752
07/22/2016,9797
07/15/2016,9785
07/8/2016,9671
07/1/2016,9755
06/24/2016,9709
06/17/2016,9815
06/10/2016,9762
06/3/2016,9568
05/27/2016,9716
05/20/2016,9516
05/13/2016,9755
05/6/2016,9658
04/29/2016,9502
04/22/2016,9315
04/15/2016,9444
04/8/2016,9633
04/1/2016,9224
03/25/2016,9244
03/18/2016,9503
03/11/2016,9458
03/4/2016,9411
02/26/2016,9121
02/19/2016,9576
02/12/2016,9203
02/5/2016,9122
01/29/2016,8341
01/22/2016,8941
01/15/2016,9079
01/8/2016,8500
01/1/2016,8159
12/25/2015,9395
12/18/2015,9185
12/11/2015,9220
12/4/2015,9420
11/27/2015,9281
11/20/2015,8921
11/13/2015,9054
11/6/2015,9388
10/30/2015,9184
10/23/2015,9343
10/16/2015,9157
10/9/2015,9137
10/2/2015,8958
09/25/2015,9021
09/18/2015,9215
09/11/2015,8983
09/4/2015,9017
08/28/2015,9438
08/21/2015,9189
08/14/2015,9705
08/7/2015,9686
07/31/2015,9687
07/24/2015,9339
07/17/2015,9749
07/10/2015,9404
07/3/2015,9532
06/26/2015,9731
06/19/2015,9655
06/12/2015,9176
06/5/2015,9600
05/29/2015,8978
05/22/2015,9734
05/15/2015,9261
05/8/2015,9201
05/1/2015,8785
04/24/2015,8920
04/17/2015,9185
04/10/2015,8914
04/3/2015,8610
03/27/2015,9435
03/20/2015,8619
03/13/2015,9260
03/6/2015,8515
02/27/2015,8630
02/20/2015,8915
02/13/2015,8809
02/6/2015,8282
01/30/2015,8442
01/23/2015,9022
01/16/2015,8851
01/9/2015,8875
01/2/2015,8809
12/26/2014,9614
12/19/2014,9518
12/12/2014,9373
12/5/2014,8549
11/28/2014,9425
11/21/2014,9254
11/14/2014,9194
11/7/2014,9005
10/31/2014,9162
10/24/2014,8867
10/17/2014,8836
10/10/2014,9043
10/3/2014,8645
09/26/2014,8660
09/19/2014,8781
09/12/2014,8707
09/5/2014,8611
08/29/2014,9480
08/22/2014,9100
08/15/2014,8775
08/8/2014,8922
08/1/2014,9359
07/25/2014,9006
07/18/2014,8792
07/11/2014,9057
07/4/2014,8935
06/27/2014,9168
06/20/2014,8813
06/13/2014,9258
06/6/2014,8624
05/30/2014,9104
05/23/2014,9310
05/16/2014,9174
05/9/2014,9191
05/2/2014,8719
04/25/2014,8693
04/18/2014,8430
04/11/2014,8616
04/4/2014,8996
03/28/2014,8713
03/21/2014,9002
03/14/2014,8512
03/7/2014,8949
02/28/2014,8411
02/21/2014,8535
02/14/2014,8030
02/7/2014,8325
01/31/2014,8452
01/24/2014,8584
01/17/2014,8059
01/10/2014,8021
01/3/2014,8274
12/27/2013,8893
12/20/2013,9176
12/13/2013,9016
12/6/2013,8348
11/29/2013,8873
11/22/2013,8909
11/15/2013,8924
11/8/2013,9032
11/1/2013,9292
10/25/2013,9054
10/18/2013,8797
10/11/2013,9077
10/4/2013,8846
09/27/2013,8527
09/20/2013,8846
09/13/2013,9028
09/6/2013,8605
08/30/2013,9094
08/23/2013,9031
08/16/2013,9200
08/9/2013,9190
08/2/2013,9246
07/26/2013,9147
07/19/2013,8982
07/12/2013,8729
07/5/2013,9299
06/28/2013,9294
06/21/2013,8894
06/14/2013,8840
06/7/2013,8648
05/31/2013,8822
05/24/2013,8956
05/17/2013,8790
05/10/2013,8341
05/3/2013,8445
04/26/2013,8415
04/19/2013,8750
04/12/2013,8383
04/5/2013,8477
03/29/2013,8523
03/22/2013,8399
03/15/2013,8324
03/8/2013,8627
03/1/2013,8364
02/22/2013,8597
02/15/2013,8437
02/8/2013,8404
02/1/2013,8415
01/25/2013,8501
01/18/2013,8431
01/11/2013,8320
01/4/2013,8010
12/28/2012,8518
12/21/2012,8608
12/14/2012,8618
12/7/2012,8488
11/30/2012,8354
11/23/2012,8427
11/16/2012,8898
11/9/2012,8908
11/2/2012,8307
10/26/2012,8844
10/19/2012,8493
10/12/2012,8729
10/5/2012,8587
09/28/2012,8633
09/21/2012,8770
09/14/2012,8632
09/7/2012,8695
08/31/2012,9177
08/24/2012,9064
08/17/2012,9081
08/10/2012,9308
08/3/2012,8839
07/27/2012,8820
07/20/2012,8660
07/13/2012,8628
07/6/2012,8917
06/29/2012,9001
06/22/2012,8846
06/15/2012,8693
06/8/2012,9130
06/1/2012,8648
05/25/2012,8931
05/18/2012,8633
05/11/2012,8971
05/4/2012,8864
04/27/2012,8692
04/20/2012,8496
04/13/2012,8775
04/6/2012,8681
03/30/2012,8783
03/23/2012,8710
03/16/2012,8379
03/9/2012,8415
03/2/2012,8262
02/24/2012,8363
02/17/2012,8628
02/10/2012,8167
02/3/2012,8039
01/27/2012,8018
01/20/2012,8098
01/13/2012,7996
01/6/2012,8179
12/30/2011,8556
12/23/2011,8923
12/16/2011,8879
12/9/2011,8666
12/2/2011,8574
11/25/2011,8769
11/18/2011,8592
11/11/2011,8625
11/4/2011,8671
10/28/2011,8518
10/21/2011,8501
10/14/2011,8598
10/7/2011,9010
09/30/2011,8959
09/23/2011,8964
09/16/2011,8858
09/9/2011,8848
09/2/2011,8956
08/26/2011,9229
08/19/2011,9009
08/12/2011,9195
08/5/2011,9244
07/29/2011,9215
07/22/2011,8999
07/15/2011,9028
07/8/2011,9016
07/1/2011,9309
06/24/2011,9261
06/17/2011,9319
06/10/2011,9370
06/3/2011,9163
05/27/2011,9431
05/20/2011,9025
05/13/2011,9048
05/6/2011,8826
04/29/2011,8943
04/22/2011,9148
04/15/2011,9062
04/8/2011,9181
04/1/2011,8853
03/25/2011,8866
03/18/2011,9074
03/11/2011,8830
03/4/2011,9192
02/25/2011,9162
02/18/2011,9101
02/11/2011,8810
02/4/2011,8524
01/28/2011,8549
01/21/2011,8632
01/14/2011,8775
01/7/2011,8819
12/31/2010,8853
12/24/2010,9399
12/17/2010,9213
12/10/2010,9349
12/3/2010,9171
11/26/2010,8867
11/19/2010,8829
11/12/2010,8952
11/5/2010,9056
10/29/2010,9015
10/22/2010,9358
10/15/2010,8891
10/8/2010,8812
10/1/2010,8989
09/24/2010,9383
09/17/2010,8847
09/10/2010,9019
09/3/2010,9263
08/27/2010,9386
08/20/2010,9375
08/13/2010,9459
08/6/2010,9236
07/30/2010,9477
07/23/2010,9632
07/16/2010,9435
07/9/2010,9080
07/2/2010,9449
06/25/2010,9462
06/18/2010,9241
06/11/2010,9338
06/4/2010,9194
05/28/2010,9174
05/21/2010,9099
05/14/2010,9092
05/7/2010,9140
04/30/2010,9282
04/23/2010,9290
04/16/2010,9152
04/9/2010,9325
04/2/2010,9076
03/26/2010,9060
03/19/2010,9087
03/12/2010,8849
03/5/2010,8992
02/26/2010,8882
02/19/2010,9064
02/12/2010,8521
02/5/2010,8766
01/29/2010,8613
01/22/2010,8619
01/15/2010,8602
01/8/2010,8740
01/1/2010,8741
12/25/2009,9074
12/18/2009,9045
12/11/2009,8963
12/4/2009,9012
11/27/2009,8943
11/20/2009,9092
11/13/2009,9015
11/6/2009,8844
10/30/2009,9015
10/23/2009,8858
10/16/2009,8950
10/9/2009,9256
10/2/2009,9269
09/25/2009,9126
09/18/2009,8790
09/11/2009,9001
09/4/2009,9283
08/28/2009,9478
08/21/2009,9105
08/14/2009,9205
08/7/2009,8951
07/31/2009,9199
07/24/2009,9171
07/17/2009,9255
07/10/2009,9163
07/3/2009,9229
06/26/2009,9053
06/19/2009,9129
06/12/2009,9354
06/5/2009,9141
05/29/2009,9020
05/22/2009,9538
05/15/2009,9232
05/8/2009,8911
05/1/2009,8923
04/24/2009,9151
04/17/2009,9136
04/10/2009,8944
04/3/2009,9024
03/27/2009,9125
03/20/2009,9100
03/13/2009,8955
03/6/2009,8972
02/27/2009,9204
02/20/2009,9010
02/13/2009,8908
02/6/2009,9006
01/30/2009,9015
01/23/2009,8650
01/16/2009,8641
01/9/2009,8758
01/2/2009,8990
12/26/2008,9106
12/19/2008,8867
12/12/2008,9175
12/5/2008,9015
11/28/2008,8933
11/21/2008,8844
11/14/2008,8962
11/7/2008,9002
10/31/2008,9095
10/24/2008,9057
10/17/2008,9065
10/10/2008,8894
10/3/2008,8691
09/26/2008,8730
09/19/2008,8741
09/12/2008,8907
09/5/2008,9090
08/29/2008,9424
08/22/2008,9411
08/15/2008,9423
08/8/2008,9446
08/1/2008,9484
07/25/2008,9468
07/18/2008,9342
07/11/2008,9344
07/4/2008,9347
06/27/2008,9357
06/20/2008,9334
06/13/2008,9251
06/6/2008,9411
05/30/2008,9129
05/23/2008,9373
05/16/2008,9359
05/9/2008,9343
05/2/2008,9311
04/25/2008,9189
04/18/2008,9215
04/11/2008,9338
04/4/2008,9286
03/28/2008,9330
03/21/2008,9116
03/14/2008,9071
03/7/2008,9131
02/29/2008,9071
02/22/2008,9045
02/15/2008,9125
02/8/2008,9020
02/1/2008,8916
01/25/2008,8940
01/18/2008,8964
01/11/2008,9116
01/4/2008,9304
12/28/2007,9286
12/21/2007,9446
12/14/2007,9287
12/7/2007,9348
11/30/2007,9266
11/23/2007,9356
11/16/2007,9222
11/9/2007,9187
11/2/2007,9367
10/26/2007,9355
10/19/2007,9373
10/12/2007,9253
10/5/2007,9200
09/28/2007,9120
09/21/2007,9235
09/14/2007,9247
09/7/2007,9393
08/31/2007,9577
08/24/2007,9626
08/17/2007,9762
08/10/2007,9572
08/3/2007,9575
07/27/2007,9662
07/20/2007,9688
07/13/2007,9710
07/6/2007,9663
06/29/2007,9557
06/22/2007,9575
06/15/2007,9591
06/8/2007,9487
06/1/2007,9495
05/25/2007,9485
05/18/2007,9433
05/11/2007,9404
05/4/2007,9344
04/27/2007,9260
04/20/2007,9163
04/13/2007,9247
04/6/2007,9472
03/30/2007,9491
03/23/2007,9250
03/16/2007,9240
03/9/2007,9158
03/2/2007,9191
02/23/2007,9121
02/16/2007,9198
02/9/2007,9061
02/2/2007,9136
01/26/2007,9090
01/19/2007,9008
01/12/2007,9060
01/5/2007,9201
12/29/2006,9247
12/22/2006,9229
12/15/2006,9491
12/8/2006,9394
12/1/2006,9477
11/24/2006,9320
11/17/2006,9149
11/10/2006,9110
11/3/2006,9256
10/27/2006,9499
10/20/2006,9511
10/13/2006,9298
10/6/2006,9242
09/29/2006,9081
09/22/2006,9287
09/15/2006,9229
09/8/2006,9368
09/1/2006,9622
08/25/2006,9610
08/18/2006,9571
08/11/2006,9530
08/4/2006,9697
07/28/2006,9639
07/21/2006,9573
07/14/2006,9569
07/7/2006,9621
06/30/2006,9645
06/23/2006,9540
06/16/2006,9429
06/9/2006,9413
06/2/2006,9367
05/26/2006,9430
05/19/2006,9193
05/12/2006,9327
05/5/2006,9346
04/28/2006,9099
04/21/2006,9012
04/14/2006,9100
04/7/2006,9297
03/31/2006,9063
03/24/2006,9054
03/17/2006,9100
03/10/2006,9106
03/3/2006,9057
02/24/2006,8951
02/17/2006,9046
02/10/2006,9083
02/3/2006,8967
01/27/2006,8879
01/20/2006,8826
01/13/2006,8859
01/6/2006,8950
12/30/2005,9358
12/23/2005,9249
12/16/2005,9326
12/9/2005,9268
12/2/2005,9221
11/25/2005,9189
11/18/2005,9124
11/11/2005,9151
11/4/2005,9246
10/28/2005,9045
10/21/2005,8981
10/14/2005,8961
10/7/2005,8783
09/30/2005,8840
09/23/2005,8836
09/16/2005,8819
09/9/2005,8636
09/2/2005,9027
08/26/2005,9406
08/19/2005,9471
08/12/2005,9408
08/5/2005,9483
07/29/2005,9586
07/22/2005,9449
07/15/2005,9415
07/8/2005,9391
07/1/2005,9721
06/24/2005,9367
06/17/2005,9313
06/10/2005,9528
06/3/2005,9451
05/27/2005,9461
05/20/2005,9443
05/13/2005,9269
05/6/2005,9175
04/29/2005,9024
04/22/2005,9306
04/15/2005,9170
04/8/2005,9089
04/1/2005,9095
03/25/2005,9075
03/18/2005,9069
03/11/2005,9131
03/4/2005,9014
02/25/2005,8884
02/18/2005,8898
02/11/2005,8825
02/4/2005,8837
01/28/2005,8848
01/21/2005,8881
01/14/2005,8695
01/7/2005,8710
12/31/2004,9287
12/24/2004,9329
12/17/2004,9068
12/10/2004,9268
12/3/2004,9107
11/26/2004,9204
11/19/2004,8988
11/12/2004,9237
11/5/2004,9217
10/29/2004,8977
10/22/2004,8883
10/15/2004,9177
10/8/2004,8917
10/1/2004,8915
09/24/2004,8922
09/17/2004,9005
09/10/2004,9234
09/3/2004,9453
08/27/2004,9267
08/20/2004,9424
08/13/2004,9521
08/6/2004,9472
07/30/2004,9263
07/23/2004,9310
07/16/2004,8840
07/9/2004,9300
07/2/2004,9398
06/25/2004,9199
06/18/2004,9194
06/11/2004,9219
06/4/2004,9045
05/28/2004,9259
05/21/2004,9154
05/14/2004,9119
05/7/2004,9373
04/30/2004,8926
04/23/2004,9255
04/16/2004,8973
04/9/2004,9338
04/2/2004,9249
03/26/2004,8731
03/19/2004,8818
03/12/2004,9044
03/5/2004,8968
02/27/2004,8970
02/20/2004,8796
02/13/2004,8727
02/6/2004,8627
01/30/2004,8514
01/23/2004,8543
01/16/2004,8426
01/9/2004,8411
01/2/2004,8686
12/26/2003,8726
12/19/2003,9166
12/12/2003,8930
12/5/2003,8776
11/28/2003,8979
11/21/2003,8725
11/14/2003,9232
11/7/2003,8995
10/31/2003,9316
10/24/2003,9413
10/17/2003,8754
10/10/2003,9156
10/3/2003,9190
09/26/2003,8690
09/19/2003,9166
09/12/2003,8974
09/5/2003,8886
08/29/2003,9337
08/22/2003,9668
08/15/2003,9325
08/8/2003,9381
08/1/2003,9303
07/25/2003,9563
07/18/2003,9177
07/11/2003,8763
07/4/2003,9050
06/27/2003,9476
06/20/2003,8833
06/13/2003,8880
06/6/2003,8529
05/30/2003,8516
05/23/2003,9299
05/16/2003,8992
05/9/2003,8894
05/2/2003,8834
04/25/2003,8358
04/18/2003,8737
04/11/2003,8640
04/4/2003,8458
03/28/2003,8284
03/21/2003,8666
03/14/2003,8596
03/7/2003,9020
02/28/2003,8421
02/21/2003,8619
02/14/2003,8454
02/7/2003,8106
01/31/2003,8551
01/24/2003,8793
01/17/2003,8645
01/10/2003,8335
01/3/2003,8411
12/27/2002,8989
12/20/2002,9063
12/13/2002,8854
12/6/2002,8616
11/29/2002,9060
11/22/2002,8667
11/15/2002,8540
11/8/2002,8759
11/1/2002,9324
10/25/2002,9022
10/18/2002,8653
10/11/2002,9090
10/4/2002,8895
09/27/2002,8582
09/20/2002,8625
09/13/2002,8899
09/6/2002,8844
08/30/2002,9135
08/23/2002,9173
08/16/2002,8939
08/9/2002,9270
08/2/2002,9297
07/26/2002,9093
07/19/2002,9056
07/12/2002,8985
07/5/2002,9004
06/28/2002,9172
06/21/2002,8752
06/14/2002,8771
06/7/2002,9004
05/31/2002,8778
05/24/2002,8685
05/17/2002,9190
05/10/2002,8548
05/3/2002,8521
04/26/2002,8699
04/19/2002,8684
04/12/2002,8840
04/5/2002,8865
03/29/2002,8386
03/22/2002,8621
03/15/2002,8713
03/8/2002,8277
03/1/2002,8782
02/22/2002,8729
02/15/2002,8428
02/8/2002,8117
02/1/2002,8223
01/25/2002,8184
01/18/2002,8049
01/11/2002,8359
01/4/2002,8288
12/28/2001,8860
12/21/2001,8888
12/14/2001,8622
12/7/2001,8327
11/30/2001,8517
11/23/2001,8868
11/16/2001,8612
11/9/2001,8771
11/2/2001,8797
10/26/2001,8702
10/19/2001,8619
10/12/2001,8766
10/5/2001,8500
09/28/2001,8514
09/21/2001,7834
09/14/2001,8969
09/7/2001,8529
08/31/2001,8612
08/24/2001,8943
08/17/2001,9035
08/10/2001,8671
08/3/2001,8959
07/27/2001,9007
07/20/2001,9176
07/13/2001,9095
07/6/2001,8622
06/29/2001,9036
06/22/2001,8921
06/15/2001,8393
06/8/2001,8428
06/1/2001,8809
05/25/2001,8270
05/18/2001,8917
05/11/2001,8275
05/4/2001,8665
04/27/2001,8404
04/20/2001,8708
04/13/2001,8438
04/6/2001,8306
03/30/2001,8507
03/23/2001,8475
03/16/2001,8484
03/9/2001,8425
03/2/2001,8489
02/23/2001,8187
02/16/2001,7850
02/9/2001,8032
02/2/2001,8589
01/26/2001,7338
01/19/2001,7894
01/12/2001,8225
01/5/2001,7825
12/29/2000,8693
12/22/2000,8400
12/15/2000,8475
12/8/2000,8711
12/1/2000,8233
11/24/2000,8063
11/17/2000,8419
11/10/2000,8216
11/3/2000,8780
10/27/2000,8942
10/20/2000,8604
10/13/2000,8663
10/6/2000,8340
09/29/2000,7819
09/22/2000,8153
09/15/2000,8814
09/8/2000,8573
09/1/2000,8644
08/25/2000,8960
08/18/2000,8786
08/11/2000,8813
08/4/2000,8759
07/28/2000,8614
07/21/2000,8361
07/14/2000,8844
07/7/2000,8519
06/30/2000,8620
06/23/2000,8475
06/16/2000,8895
06/9/2000,8403
06/2/2000,8863
05/26/2000,9075
05/19/2000,8408
05/12/2000,8242
05/5/2000,8679
04/28/2000,8302
04/21/2000,8616
04/14/2000,8557
04/7/2000,8655
03/31/2000,7896
03/24/2000,8384
03/17/2000,8201
03/10/2000,8662
03/3/2000,7608
02/25/2000,8072
02/18/2000,8524
02/11/2000,8375
02/4/2000,7642
01/28/2000,8385
01/21/2000,7919
01/14/2000,7543
01/7/2000,7907
12/31/1999,8851
12/24/1999,8590
12/17/1999,8638
12/10/1999,8557
12/3/1999,7670
11/26/1999,8416
11/19/1999,8404
11/12/1999,8416
11/5/1999,8333
10/29/1999,8532
10/22/1999,8521
10/15/1999,8406
10/8/1999,8433
10/1/1999,8557
09/24/1999,8865
09/17/1999,8504
09/10/1999,8593
09/3/1999,8778
08/27/1999,8810
08/20/1999,8415
08/13/1999,8519
08/6/1999,8644
07/30/1999,8537
07/23/1999,8639
07/16/1999,8622
07/9/1999,8679
07/2/1999,9076
06/25/1999,9045
06/18/1999,8522
06/11/1999,8827
06/4/1999,8193
05/28/1999,8401
05/21/1999,8275
05/14/1999,8761
05/7/1999,8059
04/30/1999,7825
04/23/1999,8923
04/16/1999,8066
04/9/1999,7878
04/2/1999,7959
03/26/1999,8337
03/19/1999,8367
03/12/1999,8451
03/5/1999,8273
02/26/1999,8316
02/19/1999,7948
02/12/1999,8756
02/5/1999,7532
01/29/1999,7866
01/22/1999,8186
01/15/1999,7810
01/8/1999,7385
01/1/1999,8519
12/25/1998,8153
12/18/1998,8588
12/11/1998,8314
12/4/1998,8162
11/27/1998,8313
11/20/1998,8381
11/13/1998,7711
11/6/1998,8195
10/30/1998,8360
10/23/1998,8099
10/16/1998,8049
10/9/1998,8797
10/2/1998,8058
09/25/1998,8359
09/18/1998,7873
09/11/1998,8722
09/4/1998,8713
08/28/1998,8607
08/21/1998,8288
08/14/1998,8981
08/7/1998,8317
07/31/1998,8997
07/24/1998,8125
07/17/1998,8749
07/10/1998,8234
07/3/1998,8755
06/26/1998,8644
06/19/1998,8160
06/12/1998,8103
06/5/1998,8312
05/29/1998,8205
05/22/1998,8337
05/15/1998,8524
05/8/1998,7503
05/1/1998,8190
04/24/1998,8118
04/17/1998,8303
04/10/1998,8031
04/3/1998,8992
03/27/1998,7996
03/20/1998,7753
03/13/1998,8103
03/6/1998,7744
02/27/1998,7662
02/20/1998,8005
02/13/1998,8201
02/6/1998,7673
01/30/1998,7670
01/23/1998,7940
01/16/1998,7779
01/9/1998,7673
01/2/1998,7832
12/26/1997,8201
12/19/1997,8151
12/12/1997,7955
12/5/1997,8437
11/28/1997,7578
11/21/1997,8043
11/14/1997,7793
11/7/1997,8025
10/31/1997,8355
10/24/1997,7741
10/17/1997,8315
10/10/1997,8221
10/3/1997,8379
09/26/1997,8140
09/19/1997,7746
09/12/1997,8215
09/5/1997,8053
08/29/1997,8695
08/22/1997,7922
08/15/1997,8539
08/8/1997,8253
08/1/1997,8290
07/25/1997,8600
07/18/1997,8595
07/11/1997,8606
07/4/1997,8489
06/27/1997,8234
06/20/1997,8557
06/13/1997,8009
06/6/1997,7590
05/30/1997,8154
05/23/1997,8088
05/16/1997,8253
05/9/1997,7765
05/2/1997,8224
04/25/1997,7922
04/18/1997,7914
04/11/1997,7791
04/4/1997,8115
03/28/1997,7492
03/21/1997,7729
03/14/1997,8125
03/7/1997,7417
02/28/1997,7779
02/21/1997,8011
02/14/1997,7530
02/7/1997,7013
01/31/1997,7125
01/24/1997,7265
01/17/1997,7408
01/10/1997,7440
01/3/1997,7122
12/27/1996,7740
12/20/1996,8051
12/13/1996,8355
12/6/1996,7706
11/29/1996,7370
11/22/1996,7883
11/15/1996,8073
11/8/1996,7804
11/1/1996,7682
10/25/1996,7991
10/18/1996,7958
10/11/1996,7637
10/4/1996,7935
09/27/1996,7619
09/20/1996,8000
09/13/1996,7537
09/6/1996,7843
08/30/1996,8369
08/23/1996,8364
08/16/1996,7818
08/9/1996,7722
08/2/1996,8279
07/26/1996,8067
07/19/1996,8152
07/12/1996,7968
07/5/1996,8015
06/28/1996,8563
06/21/1996,7956
06/14/1996,7957
06/7/1996,7946
05/31/1996,7836
05/24/1996,8080
05/17/1996,7512
05/10/1996,8267
05/3/1996,7592
04/26/1996,8079
04/19/1996,7433
04/12/1996,7804
04/5/1996,7280
03/29/1996,7568
03/22/1996,7900
03/15/1996,7757
03/8/1996,7877
03/1/1996,7338
02/23/1996,7826
02/16/1996,7868
02/9/1996,7520
02/2/1996,7513
01/26/1996,7393
01/19/1996,6949
01/12/1996,7513
01/5/1996,7958
12/29/1995,7035
12/22/1995,8115
12/15/1995,7489
12/8/1995,7949
12/1/1995,7439
11/24/1995,7840
11/17/1995,8021
11/10/1995,8477
11/3/1995,7449
10/27/1995,8103
10/20/1995,7712
10/13/1995,7879
10/6/1995,8106
09/29/1995,7257
09/22/1995,7821
09/15/1995,8249
09/8/1995,8078
09/1/1995,7825
08/25/1995,8206
08/18/1995,8411
08/11/1995,7628
08/4/1995,8402
07/28/1995,8213
07/21/1995,8483
07/14/1995,7866
07/7/1995,7996
06/30/1995,8238
06/23/1995,8489
06/16/1995,7971
06/9/1995,8055
06/2/1995,8460
05/26/1995,7797
05/19/1995,8183
05/12/1995,8052
05/5/1995,7539
04/28/1995,7731
04/21/1995,8156
04/14/1995,7543
04/7/1995,7588
03/31/1995,8195
03/24/1995,7797
03/17/1995,7834
03/10/1995,7548
03/3/1995,7194
02/24/1995,7670
02/17/1995,7398
02/10/1995,7132
02/3/1995,7267
01/27/1995,6976
01/20/1995,7260
01/13/1995,7534
01/6/1995,7134
12/30/1994,7718
12/23/1994,8278
12/16/1994,7933
12/9/1994,8229
12/2/1994,7593
11/25/1994,7431
11/18/1994,7929
11/11/1994,7377
11/4/1994,7432
10/28/1994,8204
10/21/1994,8143
10/14/1994,7562
10/7/1994,7515
09/30/1994,7733
09/23/1994,7763
09/16/1994,7601
09/9/1994,6955
09/2/1994,8061
08/26/1994,7750
08/19/1994,7836
08/12/1994,8187
08/5/1994,7638
07/29/1994,7581
07/22/1994,7523
