"Month","Sunspots"
"1769-10",158.2
"1769-11",148.1
"1769-12",112.0
"1770-01",104.0
"1770-02",142.5
"1770-03",80.1
"1770-04",51.0
"1770-05",70.1
"1770-06",83.3
"1770-07",109.8
"1770-08",126.3
"1770-09",104.4
"1770-10",103.6
"1770-11",132.2
"1770-12",102.3
"1771-01",36.0
"1771-02",46.2
"1771-03",46.7
"1771-04",64.9
"1771-05",152.7
"1771-06",119.5
"1771-07",67.7
"1771-08",58.5
"1771-09",101.4
"1771-10",90.0
"1771-11",99.7
"1771-12",95.7
"1772-01",100.9
"1772-02",90.8
"1772-03",31.1
"1772-04",92.2
"1772-05",38.0
"1772-06",57.0
"1772-07",77.3
"1772-08",56.2
"1772-09",50.5
"1772-10",78.6
"1772-11",61.3
"1772-12",64.0
"1773-01",54.6
"1773-02",29.0
"1773-03",51.2
"1773-04",32.9
"1773-05",41.1
"1773-06",28.4
"1773-07",27.7
"1773-08",12.7
"1773-09",29.3
"1773-10",26.3
"1773-11",40.9
"1773-12",43.2
"1774-01",46.8
"1774-02",65.4
"1774-03",55.7
"1774-04",43.8
"1774-05",51.3
"1774-06",28.5
"1774-07",17.5
"1774-08",6.6
"1774-09",7.9
"1774-10",14.0
"1774-11",17.7
"1774-12",12.2
"1775-01",4.4
"1775-02",0.0
"1775-03",11.6
"1775-04",11.2
"1775-05",3.9
"1775-06",12.3
"1775-07",1.0
"1775-08",7.9
"1775-09",3.2
"1775-10",5.6
"1775-11",15.1
"1775-12",7.9
"1776-01",21.7
"1776-02",11.6
"1776-03",6.3
"1776-04",21.8
"1776-05",11.2
"1776-06",19.0
"1776-07",1.0
"1776-08",24.2
"1776-09",16.0
"1776-10",30.0
"1776-11",35.0
"1776-12",40.0
"1777-01",45.0
"1777-02",36.5
"1777-03",39.0
"1777-04",95.5
"1777-05",80.3
"1777-06",80.7
"1777-07",95.0
"1777-08",112.0
"1777-09",116.2
"1777-10",106.5
"1777-11",146.0
"1777-12",157.3
"1778-01",177.3
"1778-02",109.3
"1778-03",134.0
"1778-04",145.0
"1778-05",238.9
"1778-06",171.6
"1778-07",153.0
"1778-08",140.0
"1778-09",171.7
"1778-10",156.3
"1778-11",150.3
"1778-12",105.0
"1779-01",114.7
"1779-02",165.7
"1779-03",118.0
"1779-04",145.0
"1779-05",140.0
"1779-06",113.7
"1779-07",143.0
"1779-08",112.0
"1779-09",111.0
"1779-10",124.0
"1779-11",114.0
"1779-12",110.0
"1780-01",70.0
"1780-02",98.0
"1780-03",98.0
"1780-04",95.0
"1780-05",107.2
"1780-06",88.0
"1780-07",86.0
"1780-08",86.0
"1780-09",93.7
"1780-10",77.0
"1780-11",60.0
"1780-12",58.7
"1781-01",98.7
"1781-02",74.7
"1781-03",53.0
"1781-04",68.3
"1781-05",104.7
"1781-06",97.7
"1781-07",73.5
"1781-08",66.0
"1781-09",51.0
"1781-10",27.3
"1781-11",67.0
"1781-12",35.2
"1782-01",54.0
"1782-02",37.5
"1782-03",37.0
"1782-04",41.0
"1782-05",54.3
"1782-06",38.0
"1782-07",37.0
"1782-08",44.0
"1782-09",34.0
"1782-10",23.2
"1782-11",31.5
"1782-12",30.0
"1783-01",28.0
"1783-02",38.7
"1783-03",26.7
"1783-04",28.3
"1783-05",23.0
"1783-06",25.2
"1783-07",32.2
"1783-08",20.0
"1783-09",18.0
"1783-10",8.0
"1783-11",15.0
"1783-12",10.5
"1784-01",13.0
"1784-02",8.0
"1784-03",11.0
"1784-04",10.0
"1784-05",6.0
"1784-06",9.0
"1784-07",6.0
"1784-08",10.0
"1784-09",10.0
"1784-10",8.0
"1784-11",17.0
"1784-12",14.0
"1785-01",6.5
"1785-02",8.0
"1785-03",9.0
"1785-04",15.7
"1785-05",20.7
"1785-06",26.3
"1785-07",36.3
"1785-08",20.0
"1785-09",32.0
"1785-10",47.2
"1785-11",40.2
"1785-12",27.3
"1786-01",37.2
"1786-02",47.6
"1786-03",47.7
"1786-04",85.4
"1786-05",92.3
"1786-06",59.0
"1786-07",83.0
"1786-08",89.7
"1786-09",111.5
"1786-10",112.3
"1786-11",116.0
"1786-12",112.7
"1787-01",134.7
"1787-02",106.0
"1787-03",87.4
"1787-04",127.2
"1787-05",134.8
"1787-06",99.2
"1787-07",128.0
"1787-08",137.2
"1787-09",157.3
"1787-10",157.0
"1787-11",141.5
"1787-12",174.0
"1788-01",138.0
"1788-02",129.2
"1788-03",143.3
"1788-04",108.5
"1788-05",113.0
"1788-06",154.2
"1788-07",141.5
"1788-08",136.0
"1788-09",141.0
"1788-10",142.0
"1788-11",94.7
"1788-12",129.5
"1789-01",114.0
"1789-02",125.3
"1789-03",120.0
"1789-04",123.3
"1789-05",123.5
"1789-06",120.0
"1789-07",117.0
"1789-08",103.0
"1789-09",112.0
"1789-10",89.7
"1789-11",134.0
"1789-12",135.5
"1790-01",103.0
"1790-02",127.5
"1790-03",96.3
"1790-04",94.0
"1790-05",93.0
"1790-06",91.0
"1790-07",69.3
"1790-08",87.0
"1790-09",77.3
"1790-10",84.3
"1790-11",82.0
"1790-12",74.0
"1791-01",72.7
"1791-02",62.0
"1791-03",74.0
"1791-04",77.2
"1791-05",73.7
"1791-06",64.2
"1791-07",71.0
"1791-08",43.0
"1791-09",66.5
"1791-10",61.7
"1791-11",67.0
"1791-12",66.0
"1792-01",58.0
"1792-02",64.0
"1792-03",63.0
"1792-04",75.7
"1792-05",62.0
"1792-06",61.0
"1792-07",45.8
"1792-08",60.0
"1792-09",59.0
"1792-10",59.0
"1792-11",57.0
"1792-12",56.0
"1793-01",56.0
"1793-02",55.0
"1793-03",55.5
"1793-04",53.0
"1793-05",52.3
"1793-06",51.0
"1793-07",50.0
"1793-08",29.3
"1793-09",24.0
"1793-10",47.0
"1793-11",44.0
"1793-12",45.7
"1794-01",45.0
"1794-02",44.0
"1794-03",38.0
"1794-04",28.4
"1794-05",55.7
"1794-06",41.5
"1794-07",41.0
"1794-08",40.0
"1794-09",11.1
"1794-10",28.5
"1794-11",67.4
"1794-12",51.4
"1795-01",21.4
"1795-02",39.9
"1795-03",12.6
"1795-04",18.6
"1795-05",31.0
"1795-06",17.1
"1795-07",12.9
"1795-08",25.7
"1795-09",13.5
"1795-10",19.5
"1795-11",25.0
"1795-12",18.0
"1796-01",22.0
"1796-02",23.8
"1796-03",15.7
"1796-04",31.7
"1796-05",21.0
"1796-06",6.7
"1796-07",26.9
"1796-08",1.5
"1796-09",18.4
"1796-10",11.0
"1796-11",8.4
"1796-12",5.1
"1797-01",14.4
"1797-02",4.2
"1797-03",4.0
"1797-04",4.0
"1797-05",7.3
"1797-06",11.1
"1797-07",4.3
"1797-08",6.0
"1797-09",5.7
"1797-10",6.9
"1797-11",5.8
"1797-12",3.0
"1798-01",2.0
"1798-02",4.0
"1798-03",12.4
"1798-04",1.1
"1798-05",0.0
"1798-06",0.0
"1798-07",0.0
"1798-08",3.0
"1798-09",2.4
"1798-10",1.5
"1798-11",12.5
"1798-12",9.9
"1799-01",1.6
"1799-02",12.6
"1799-03",21.7
"1799-04",8.4
"1799-05",8.2
"1799-06",10.6
"1799-07",2.1
"1799-08",0.0
"1799-09",0.0
"1799-10",4.6
"1799-11",2.7
"1799-12",8.6
"1800-01",6.9
"1800-02",9.3
"1800-03",13.9
"1800-04",0.0
"1800-05",5.0
"1800-06",23.7
"1800-07",21.0
"1800-08",19.5
"1800-09",11.5
"1800-10",12.3
"1800-11",10.5
"1800-12",40.1
"1801-01",27.0
"1801-02",29.0
"1801-03",30.0
"1801-04",31.0
"1801-05",32.0
"1801-06",31.2
"1801-07",35.0
"1801-08",38.7
"1801-09",33.5
"1801-10",32.6
"1801-11",39.8
"1801-12",48.2
"1802-01",47.8
"1802-02",47.0
"1802-03",40.8
"1802-04",42.0
"1802-05",44.0
"1802-06",46.0
"1802-07",48.0
"1802-08",50.0
"1802-09",51.8
"1802-10",38.5
"1802-11",34.5
"1802-12",50.0
"1803-01",50.0
"1803-02",50.8
"1803-03",29.5
"1803-04",25.0
"1803-05",44.3
"1803-06",36.0
"1803-07",48.3
"1803-08",34.1
"1803-09",45.3
"1803-10",54.3
"1803-11",51.0
"1803-12",48.0
"1804-01",45.3
"1804-02",48.3
"1804-03",48.0
"1804-04",50.6
"1804-05",33.4
"1804-06",34.8
"1804-07",29.8
"1804-08",43.1
"1804-09",53.0
"1804-10",62.3
"1804-11",61.0
"1804-12",60.0
"1805-01",61.0
"1805-02",44.1
"1805-03",51.4
"1805-04",37.5
"1805-05",39.0
"1805-06",40.5
"1805-07",37.6
"1805-08",42.7
"1805-09",44.4
"1805-10",29.4
"1805-11",41.0
"1805-12",38.3
"1806-01",39.0
"1806-02",29.6
"1806-03",32.7
"1806-04",27.7
"1806-05",26.4
"1806-06",25.6
"1806-07",30.0
"1806-08",26.3
"1806-09",24.0
"1806-10",27.0
"1806-11",25.0
"1806-12",24.0
"1807-01",12.0
"1807-02",12.2
"1807-03",9.6
"1807-04",23.8
"1807-05",10.0
"1807-06",12.0
"1807-07",12.7
"1807-08",12.0
"1807-09",5.7
"1807-10",8.0
"1807-11",2.6
"1807-12",0.0
"1808-01",0.0
"1808-02",4.5
"1808-03",0.0
"1808-04",12.3
"1808-05",13.5
"1808-06",13.5
"1808-07",6.7
"1808-08",8.0
"1808-09",11.7
"1808-10",4.7
"1808-11",10.5
"1808-12",12.3
"1809-01",7.2
"1809-02",9.2
"1809-03",0.9
"1809-04",2.5
"1809-05",2.0
"1809-06",7.7
"1809-07",0.3
"1809-08",0.2
"1809-09",0.4
"1809-10",0.0
"1809-11",0.0
"1809-12",0.0
"1810-01",0.0
"1810-02",0.0
"1810-03",0.0
"1810-04",0.0
"1810-05",0.0
"1810-06",0.0
"1810-07",0.0
"1810-08",0.0
"1810-09",0.0
"1810-10",0.0
"1810-11",0.0
"1810-12",0.0
"1811-01",0.0
"1811-02",0.0
"1811-03",0.0
"1811-04",0.0
"1811-05",0.0
"1811-06",0.0
"1811-07",6.6
"1811-08",0.0
"1811-09",2.4
"1811-10",6.1
"1811-11",0.8
"1811-12",1.1
"1812-01",11.3
"1812-02",1.9
"1812-03",0.7
"1812-04",0.0
"1812-05",1.0
"1812-06",1.3
"1812-07",0.5
"1812-08",15.6
"1812-09",5.2
"1812-10",3.9
"1812-11",7.9
"1812-12",10.1
"1813-01",0.0
"1813-02",10.3
"1813-03",1.9
"1813-04",16.6
"1813-05",5.5
"1813-06",11.2
"1813-07",18.3
"1813-08",8.4
"1813-09",15.3
"1813-10",27.8
"1813-11",16.7
"1813-12",14.3
"1814-01",22.2
"1814-02",12.0
"1814-03",5.7
"1814-04",23.8
"1814-05",5.8
"1814-06",14.9
"1814-07",18.5
"1814-08",2.3
"1814-09",8.1
"1814-10",19.3
"1814-11",14.5
"1814-12",20.1
"1815-01",19.2
"1815-02",32.2
"1815-03",26.2
"1815-04",31.6
"1815-05",9.8
"1815-06",55.9
"1815-07",35.5
"1815-08",47.2
"1815-09",31.5
"1815-10",33.5
"1815-11",37.2
"1815-12",65.0
"1816-01",26.3
"1816-02",68.8
"1816-03",73.7
"1816-04",58.8
"1816-05",44.3
"1816-06",43.6
"1816-07",38.8
"1816-08",23.2
"1816-09",47.8
"1816-10",56.4
"1816-11",38.1
"1816-12",29.9
"1817-01",36.4
"1817-02",57.9
"1817-03",96.2
"1817-04",26.4
"1817-05",21.2
"1817-06",40.0
"1817-07",50.0
"1817-08",45.0
"1817-09",36.7
"1817-10",25.6
"1817-11",28.9
"1817-12",28.4
"1818-01",34.9
"1818-02",22.4
"1818-03",25.4
"1818-04",34.5
"1818-05",53.1
"1818-06",36.4
"1818-07",28.0
"1818-08",31.5
"1818-09",26.1
"1818-10",31.7
"1818-11",10.9
"1818-12",25.8
"1819-01",32.5
"1819-02",20.7
"1819-03",3.7
"1819-04",20.2
"1819-05",19.6
"1819-06",35.0
"1819-07",31.4
"1819-08",26.1
"1819-09",14.9
"1819-10",27.5
"1819-11",25.1
"1819-12",30.6
"1820-01",19.2
"1820-02",26.6
"1820-03",4.5
"1820-04",19.4
"1820-05",29.3
"1820-06",10.8
"1820-07",20.6
"1820-08",25.9
"1820-09",5.2
"1820-10",9.0
"1820-11",7.9
"1820-12",9.7
"1821-01",21.5
"1821-02",4.3
"1821-03",5.7
"1821-04",9.2
"1821-05",1.7
"1821-06",1.8
"1821-07",2.5
"1821-08",4.8
"1821-09",4.4
"1821-10",18.8
"1821-11",4.4
"1821-12",0.0
"1822-01",0.0
"1822-02",0.9
"1822-03",16.1
"1822-04",13.5
"1822-05",1.5
"1822-06",5.6
"1822-07",7.9
"1822-08",2.1
"1822-09",0.0
"1822-10",0.4
"1822-11",0.0
"1822-12",0.0
"1823-01",0.0
"1823-02",0.0
"1823-03",0.6
"1823-04",0.0
"1823-05",0.0
"1823-06",0.0
"1823-07",0.5
"1823-08",0.0
"1823-09",0.0
"1823-10",0.0
"1823-11",0.0
"1823-12",20.4
"1824-01",21.6
"1824-02",10.8
"1824-03",0.0
"1824-04",19.4
"1824-05",2.8
"1824-06",0.0
"1824-07",0.0
"1824-08",1.4
"1824-09",20.5
"1824-10",25.2
"1824-11",0.0
"1824-12",0.8
"1825-01",5.0
"1825-02",15.5
"1825-03",22.4
"1825-04",3.8
"1825-05",15.4
"1825-06",15.4
"1825-07",30.9
"1825-08",25.4
"1825-09",15.7
"1825-10",15.6
"1825-11",11.7
"1825-12",22.0
"1826-01",17.7
"1826-02",18.2
"1826-03",36.7
"1826-04",24.0
"1826-05",32.4
"1826-06",37.1
"1826-07",52.5
"1826-08",39.6
"1826-09",18.9
"1826-10",50.6
"1826-11",39.5
"1826-12",68.1
"1827-01",34.6
"1827-02",47.4
"1827-03",57.8
"1827-04",46.0
"1827-05",56.3
"1827-06",56.7
"1827-07",42.9
"1827-08",53.7
"1827-09",49.6
"1827-10",57.2
"1827-11",48.2
"1827-12",46.1
"1828-01",52.8
"1828-02",64.4
"1828-03",65.0
"1828-04",61.1
"1828-05",89.1
"1828-06",98.0
"1828-07",54.3
"1828-08",76.4
"1828-09",50.4
"1828-10",54.7
"1828-11",57.0
"1828-12",46.6
"1829-01",43.0
"1829-02",49.4
"1829-03",72.3
"1829-04",95.0
"1829-05",67.5
"1829-06",73.9
"1829-07",90.8
"1829-08",78.3
"1829-09",52.8
"1829-10",57.2
"1829-11",67.6
"1829-12",56.5
"1830-01",52.2
"1830-02",72.1
"1830-03",84.6
"1830-04",107.1
"1830-05",66.3
"1830-06",65.1
"1830-07",43.9
"1830-08",50.7
"1830-09",62.1
"1830-10",84.4
"1830-11",81.2
"1830-12",82.1
"1831-01",47.5
"1831-02",50.1
"1831-03",93.4
"1831-04",54.6
"1831-05",38.1
"1831-06",33.4
"1831-07",45.2
"1831-08",54.9
"1831-09",37.9
"1831-10",46.2
"1831-11",43.5
"1831-12",28.9
"1832-01",30.9
"1832-02",55.5
"1832-03",55.1
"1832-04",26.9
"1832-05",41.3
"1832-06",26.7
"1832-07",13.9
"1832-08",8.9
"1832-09",8.2
"1832-10",21.1
"1832-11",14.3
"1832-12",27.5
"1833-01",11.3
"1833-02",14.9
"1833-03",11.8
"1833-04",2.8
"1833-05",12.9
"1833-06",1.0
"1833-07",7.0
"1833-08",5.7
"1833-09",11.6
"1833-10",7.5
"1833-11",5.9
"1833-12",9.9
"1834-01",4.9
"1834-02",18.1
"1834-03",3.9
"1834-04",1.4
"1834-05",8.8
"1834-06",7.8
"1834-07",8.7
"1834-08",4.0
"1834-09",11.5
"1834-10",24.8
"1834-11",30.5
"1834-12",34.5
"1835-01",7.5
"1835-02",24.5
"1835-03",19.7
"1835-04",61.5
"1835-05",43.6
"1835-06",33.2
"1835-07",59.8
"1835-08",59.0
"1835-09",100.8
"1835-10",95.2
"1835-11",100.0
"1835-12",77.5
"1836-01",88.6
"1836-02",107.6
"1836-03",98.1
"1836-04",142.9
"1836-05",111.4
"1836-06",124.7
"1836-07",116.7
"1836-08",107.8
"1836-09",95.1
"1836-10",137.4
"1836-11",120.9
"1836-12",206.2
"1837-01",188.0
"1837-02",175.6
"1837-03",134.6
"1837-04",138.2
"1837-05",111.3
"1837-06",158.0
"1837-07",162.8
"1837-08",134.0
"1837-09",96.3
"1837-10",123.7
"1837-11",107.0
"1837-12",129.8
"1838-01",144.9
"1838-02",84.8
"1838-03",140.8
"1838-04",126.6
"1838-05",137.6
"1838-06",94.5
"1838-07",108.2
"1838-08",78.8
"1838-09",73.6
"1838-10",90.8
"1838-11",77.4
"1838-12",79.8
"1839-01",107.6
"1839-02",102.5
"1839-03",77.7
"1839-04",61.8
"1839-05",53.8
"1839-06",54.6
"1839-07",84.7
"1839-08",131.2
"1839-09",132.7
"1839-10",90.8
"1839-11",68.8
"1839-12",63.6
"1840-01",81.2
"1840-02",87.7
"1840-03",55.5
"1840-04",65.9
"1840-05",69.2
"1840-06",48.5
"1840-07",60.7
"1840-08",57.8
"1840-09",74.0
"1840-10",49.8
"1840-11",54.3
"1840-12",53.7
"1841-01",24.0
"1841-02",29.9
"1841-03",29.7
"1841-04",42.6
"1841-05",67.4
"1841-06",55.7
"1841-07",30.8
"1841-08",39.3
"1841-09",35.1
"1841-10",28.5
"1841-11",19.8
"1841-12",38.8
"1842-01",20.4
"1842-02",22.1
"1842-03",21.7
"1842-04",26.9
"1842-05",24.9
"1842-06",20.5
"1842-07",12.6
"1842-08",26.5
"1842-09",18.5
"1842-10",38.1
"1842-11",40.5
"1842-12",17.6
"1843-01",13.3
"1843-02",3.5
"1843-03",8.3
"1843-04",8.8
"1843-05",21.1
"1843-06",10.5
"1843-07",9.5
"1843-08",11.8
"1843-09",4.2
"1843-10",5.3
"1843-11",19.1
"1843-12",12.7
"1844-01",9.4
"1844-02",14.7
"1844-03",13.6
"1844-04",20.8
"1844-05",12.0
"1844-06",3.7
"1844-07",21.2
"1844-08",23.9
"1844-09",6.9
"1844-10",21.5
"1844-11",10.7
"1844-12",21.6
"1845-01",25.7
"1845-02",43.6
"1845-03",43.3
"1845-04",56.9
"1845-05",47.8
"1845-06",31.1
"1845-07",30.6
"1845-08",32.3
"1845-09",29.6
"1845-10",40.7
"1845-11",39.4
"1845-12",59.7
"1846-01",38.7
"1846-02",51.0
"1846-03",63.9
"1846-04",69.2
"1846-05",59.9
"1846-06",65.1
"1846-07",46.5
"1846-08",54.8
"1846-09",107.1
"1846-10",55.9
"1846-11",60.4
"1846-12",65.5
"1847-01",62.6
"1847-02",44.9
"1847-03",85.7
"1847-04",44.7
"1847-05",75.4
"1847-06",85.3
"1847-07",52.2
"1847-08",140.6
"1847-09",161.2
"1847-10",180.4
"1847-11",138.9
"1847-12",109.6
"1848-01",159.1
"1848-02",111.8
"1848-03",108.9
"1848-04",107.1
"1848-05",102.2
"1848-06",123.8
"1848-07",139.2
"1848-08",132.5
"1848-09",100.3
"1848-10",132.4
"1848-11",114.6
"1848-12",159.9
"1849-01",156.7
"1849-02",131.7
"1849-03",96.5
"1849-04",102.5
"1849-05",80.6
"1849-06",81.2
"1849-07",78.0
"1849-08",61.3
"1849-09",93.7
"1849-10",71.5
"1849-11",99.7
"1849-12",97.0
"1850-01",78.0
"1850-02",89.4
"1850-03",82.6
"1850-04",44.1
"1850-05",61.6
"1850-06",70.0
"1850-07",39.1
"1850-08",61.6
"1850-09",86.2
"1850-10",71.0
"1850-11",54.8
"1850-12",60.0
"1851-01",75.5
"1851-02",105.4
"1851-03",64.6
"1851-04",56.5
"1851-05",62.6
"1851-06",63.2
"1851-07",36.1
"1851-08",57.4
"1851-09",67.9
"1851-10",62.5
"1851-11",50.9
"1851-12",71.4
"1852-01",68.4
"1852-02",67.5
"1852-03",61.2
"1852-04",65.4
"1852-05",54.9
"1852-06",46.9
"1852-07",42.0
"1852-08",39.7
"1852-09",37.5
"1852-10",67.3
"1852-11",54.3
"1852-12",45.4
"1853-01",41.1
"1853-02",42.9
"1853-03",37.7
"1853-04",47.6
"1853-05",34.7
"1853-06",40.0
"1853-07",45.9
"1853-08",50.4
"1853-09",33.5
"1853-10",42.3
"1853-11",28.8
"1853-12",23.4
"1854-01",15.4
"1854-02",20.0
"1854-03",20.7
"1854-04",26.4
"1854-05",24.0
"1854-06",21.1
"1854-07",18.7
"1854-08",15.8
"1854-09",22.4
"1854-10",12.7
"1854-11",28.2
"1854-12",21.4
"1855-01",12.3
"1855-02",11.4
"1855-03",17.4
"1855-04",4.4
"1855-05",9.1
"1855-06",5.3
"1855-07",0.4
"1855-08",3.1
"1855-09",0.0
"1855-10",9.7
"1855-11",4.3
"1855-12",3.1
"1856-01",0.5
"1856-02",4.9
"1856-03",0.4
"1856-04",6.5
"1856-05",0.0
"1856-06",5.0
"1856-07",4.6
"1856-08",5.9
"1856-09",4.4
"1856-10",4.5
"1856-11",7.7
"1856-12",7.2
"1857-01",13.7
"1857-02",7.4
"1857-03",5.2
"1857-04",11.1
"1857-05",29.2
"1857-06",16.0
"1857-07",22.2
"1857-08",16.9
"1857-09",42.4
"1857-10",40.6
"1857-11",31.4
"1857-12",37.2
"1858-01",39.0
"1858-02",34.9
"1858-03",57.5
"1858-04",38.3
"1858-05",41.4
"1858-06",44.5
"1858-07",56.7
"1858-08",55.3
"1858-09",80.1
"1858-10",91.2
"1858-11",51.9
"1858-12",66.9
"1859-01",83.7
"1859-02",87.6
"1859-03",90.3
"1859-04",85.7
"1859-05",91.0
"1859-06",87.1
"1859-07",95.2
"1859-08",106.8
"1859-09",105.8
"1859-10",114.6
"1859-11",97.2
"1859-12",81.0
"1860-01",81.5
"1860-02",88.0
"1860-03",98.9
"1860-04",71.4
"1860-05",107.1
"1860-06",108.6
"1860-07",116.7
"1860-08",100.3
"1860-09",92.2
"1860-10",90.1
"1860-11",97.9
"1860-12",95.6
"1861-01",62.3
"1861-02",77.8
"1861-03",101.0
"1861-04",98.5
"1861-05",56.8
"1861-06",87.8
"1861-07",78.0
"1861-08",82.5
"1861-09",79.9
"1861-10",67.2
"1861-11",53.7
"1861-12",80.5
"1862-01",63.1
"1862-02",64.5
"1862-03",43.6
"1862-04",53.7
"1862-05",64.4
"1862-06",84.0
"1862-07",73.4
"1862-08",62.5
"1862-09",66.6
"1862-10",42.0
"1862-11",50.6
"1862-12",40.9
"1863-01",48.3
"1863-02",56.7
"1863-03",66.4
"1863-04",40.6
"1863-05",53.8
"1863-06",40.8
"1863-07",32.7
"1863-08",48.1
"1863-09",22.0
"1863-10",39.9
"1863-11",37.7
"1863-12",41.2
"1864-01",57.7
"1864-02",47.1
"1864-03",66.3
"1864-04",35.8
"1864-05",40.6
"1864-06",57.8
"1864-07",54.7
"1864-08",54.8
"1864-09",28.5
"1864-10",33.9
"1864-11",57.6
"1864-12",28.6
"1865-01",48.7
"1865-02",39.3
"1865-03",39.5
"1865-04",29.4
"1865-05",34.5
