Total,Hol,VFR,Bus,Oth,NSW - hol,VIC - hol,QLD - hol,SA - hol,WA - hol,TAS - hol,NT - hol,NSW - vfr,VIC - vfr,QLD - vfr,SA - vfr,WA - vfr,TAS - vfr,NT - vfr,NSW - bus,VIC - bus,QLD - bus,SA - bus,WA - bus,TAS - bus,NT - bus,NSW - oth,VIC - oth,QLD - oth,SA - oth,WA - oth,TAS - oth,NT - oth,NSW - hol - city,NSW - hol - noncity,VIC - hol - city,VIC - hol - noncity,QLD - hol - city,QLD - hol - noncity,SA - hol - city,SA - hol - noncity,WA - hol - city,WA - hol - noncity,TAS - hol - city,TAS - hol - noncity,NT - hol - city,NT - hol - noncity,NSW - vfr - city,NSW - vfr - noncity,VIC - vfr - city,VIC - vfr - noncity,QLD - vfr - city,QLD - vfr - noncity,SA - vfr - city,SA - vfr - noncity,WA - vfr - city,WA - vfr - noncity,TAS - vfr - city,TAS - vfr - noncity,NT - vfr - city,NT - vfr - noncity,NSW - bus - city,NSW - bus - noncity,VIC - bus - city,VIC - bus - noncity,QLD - bus - city,QLD - bus - noncity,SA - bus - city,SA - bus - noncity,WA - bus - city,WA - bus - noncity,TAS - bus - city,TAS - bus - noncity,NT - bus - city,NT - bus - noncity,NSW - oth - city,NSW - oth - noncity,VIC - oth - city,VIC - oth - noncity,QLD - oth - city,QLD - oth - noncity,SA - oth - city,SA - oth - noncity,WA - oth - city,WA - oth - noncity,TAS - oth - city,TAS - oth - noncity,NT - oth - city,NT - oth - noncity,NSW,VIC,QLD,SA,WA,TAS,NT
80385,44072,23461,9031,3821,15025,11187,9559,3038,3136,1886,241,8811,5165,4887,1873,1847,705,173,3232,1762,1768,740,947,220,362,1209,681,1032,281,341,249,28,2030,12995,2899,8288,4522,5037,790,2248,1159,1977,573,1313,102,139,3219,5592,2327,2838,1871,3016,1174,699,1118,729,402,303,34,139,1542,1690,1240,522,672,1096,295,445,377,570,72,148,241,121,557,652,318,363,709,323,216,65,245,96,130,119,21,7,28277,18795,17246,5932,6271,3060,804
67967,32250,20351,10366,5000,9939,6108,8465,2038,3604,1104,992,8317,3754,4946,1330,1461,416,127,3348,1641,2299,700,1362,206,810,1776,761,1148,466,519,188,142,1763,8176,1847,4261,3377,5088,430,1608,937,2667,364,740,616,376,2494,5823,1591,2163,2668,2278,599,731,878,583,202,214,60,67,1429,1919,1139,502,660,1639,394,306,595,767,88,118,165,645,845,931,424,337,429,719,210,256,457,62,60,128,84,58,23380,12264,16858,4534,6946,1914,2071
69849,32259,20876,11888,4826,8865,4804,11424,1715,3413,622,1416,7890,3783,5583,1230,1621,358,411,3737,2075,2993,808,1444,299,532,955,879,1491,479,516,59,447,1383,7482,1327,3477,4545,6879,611,1104,999,2414,246,376,533,883,2788,5102,1921,1862,2506,3077,656,574,787,834,118,240,251,160,1753,1984,1417,658,1283,1710,452,356,628,816,114,185,270,262,387,568,434,445,717,774,300,179,233,283,11,48,116,331,21447,11541,21491,4232,6994,1338,2806
71445,32037,21093,11053,7262,10458,5155,10397,2172,2728,746,381,7293,5031,4593,1625,1942,473,136,3735,2026,2660,415,1391,273,553,1578,938,1758,592,1803,171,422,1517,8941,1517,3638,4892,5505,643,1529,830,1898,298,448,134,247,2287,5006,2634,2397,2058,2535,889,736,1111,831,163,310,69,67,1952,1783,1386,640,1110,1550,220,195,550,841,195,78,350,203,584,994,638,300,470,1288,345,247,459,1344,52,119,163,259,23064,13150,19408,4804,7864,1663,1492
83938,44888,24805,9824,4421,14986,9655,11063,2671,4168,2171,174,8891,6035,5016,1728,2303,643,189,3115,1672,1990,648,1678,376,345,1113,1208,1123,387,474,90,26,1715,13271,2484,7171,5730,5333,648,2023,1747,2421,739,1432,86,88,2659,6232,2785,3250,2531,2485,947,781,1238,1065,287,356,71,118,1044,2071,1018,654,693,1297,466,182,550,1128,259,117,160,185,474,639,314,894,352,771,275,112,328,146,31,59,14,12,28105,18570,19192,5434,8623,3280,734
63529,28899,20576,10418,3636,9472,5400,7323,2109,2848,843,904,7946,4599,3865,1581,2038,404,143,3556,1440,2408,758,1411,264,581,1269,580,731,490,380,91,95,1292,8180,1338,4062,3487,3836,492,1617,845,2003,255,588,299,605,2483,5463,1984,2615,1694,2171,1083,498,1142,896,132,272,118,25,1568,1988,882,558,1136,1272,378,380,287,1124,130,134,93,488,502,767,234,346,422,309,334,156,201,179,73,18,40,55,22243,12019,14327,4938,6677,1602,1723
75540,31813,23966,13598,6163,9041,4665,11553,1810,3091,544,1109,8429,4091,6924,1904,1738,409,471,4740,2224,3011,838,1599,686,500,1617,907,1814,483,797,309,236,1373,7668,1657,3008,4094,7459,607,1203,758,2333,205,339,452,657,2295,6134,1986,2105,2920,4004,1231,673,740,998,155,254,322,149,1859,2881,1303,921,1206,1805,295,543,723,876,566,120,132,368,633,984,394,513,559,1255,293,190,320,477,62,247,112,124,23827,11887,23302,5035,7225,1948,2316
75663,32790,23466,12164,7243,10585,5706,9596,2178,2651,1023,1051,9235,5150,5047,1563,1791,447,233,3744,2023,2678,849,1511,345,1014,1420,1328,2210,428,1270,131,456,1613,8972,1613,4093,4084,5512,533,1645,818,1833,309,714,197,854,2751,6484,2577,2573,2506,2541,718,845,1028,763,190,257,205,28,1354,2390,1086,937,1289,1389,370,479,487,1024,90,255,699,315,494,926,424,904,1311,899,229,199,582,688,102,29,208,248,24984,14207,19531,5018,7223,1946,2754
83860,43322,27380,9985,3173,14617,9232,10609,2751,3888,1955,270,9338,5652,6495,2269,2567,789,270,3492,1900,2224,865,846,386,272,816,695,681,397,320,228,36,1619,12998,2537,6695,5937,4672,574,2177,1315,2573,603,1352,135,135,2784,6554,2439,3213,3289,3206,1218,1051,1511,1056,352,437,183,87,1601,1891,1237,663,683,1541,297,568,278,568,129,257,194,78,349,467,201,494,170,511,284,113,201,119,99,129,23,13,28263,17479,20009,6282,7621,3358,848
67193,29209,23010,10584,4390,8915,5615,7392,2187,3155,1269,676,7546,5012,6075,1723,1755,614,285,3515,2208,2268,844,1116,254,379,1461,594,977,456,317,422,163,1156,7759,1283,4332,2761,4631,493,1694,990,2165,393,876,307,369,2260,5286,2015,2997,2981,3094,699,1024,1082,673,279,335,189,96,1431,2084,1533,675,946,1322,476,368,419,697,170,84,106,273,604,857,281,313,536,441,332,124,254,63,253,169,59,104,21437,13429,16712,5210,6343,2559,1503
71389,31691,22477,11212,6009,8249,4810,11900,1762,3330,432,1208,7838,3778,6574,1464,2219,313,291,3444,1907,2750,1099,1426,313,273,1304,696,1514,493,1203,179,620,1051,7198,1122,3688,4043,7857,533,1229,878,2452,165,267,579,629,2334,5504,1768,2010,2638,3936,705,759,890,1329,122,191,201,90,1516,1928,1257,650,1418,1332,694,405,389,1037,152,161,97,176,407,897,272,424,468,1046,180,313,523,680,57,122,275,345,20835,11191,22738,4818,8178,1237,2392
71658,30669,24683,11020,5286,9154,5214,9858,1940,2853,1173,477,8887,5484,5342,1587,2284,889,210,3727,1479,2442,893,1698,255,526,1147,616,1741,405,1018,176,183,1441,7713,1861,3353,4186,5672,352,1588,881,1972,377,796,259,218,2571,6316,2308,3176,2646,2696,757,830,1107,1177,222,667,114,96,1431,2296,839,640,835,1607,426,467,398,1300,160,95,163,363,429,718,254,362,421,1320,206,199,336,682,168,8,51,132,22915,12793,19383,4825,7853,2493,1396
85852,42091,30568,9522,3671,13353,9601,8990,3210,4316,2391,230,10864,6296,6499,2583,2397,1749,180,3325,1542,2171,850,835,280,519,1039,753,728,368,543,199,41,1739,11614,1980,7621,4249,4741,673,2537,1361,2955,822,1569,140,90,2831,8033,2391,3905,3287,3212,1480,1103,1441,956,733,1016,76,104,1393,1932,967,575,1129,1042,480,370,211,624,75,205,329,190,293,746,320,433,460,268,181,187,353,190,101,98,29,12,28581,18192,18388,7011,8091,4619,970
66981,29457,23863,10010,3651,9191,5891,8054,2118,2478,1178,547,8799,4968,5328,1711,1940,664,453,2948,2001,2168,891,1337,346,319,963,787,797,354,552,118,80,1336,7855,1378,4513,3505,4549,394,1724,802,1676,345,833,247,300,2702,6097,2212,2756,2557,2771,832,879,1168,772,263,401,379,74,1386,1562,1296,705,726,1442,513,378,568,769,215,131,74,245,367,596,339,448,260,537,229,125,316,236,74,44,40,40,21901,13647,16347,5074,6307,2306,1399
73840,33643,23254,11998,4945,8525,4646,12995,1681,3869,351,1576,7892,3995,7068,1321,2057,349,572,3347,1899,3114,1142,1752,353,391,1179,522,1553,399,918,62,312,1456,7069,1376,3270,5062,7933,406,1275,823,3046,127,224,664,912,2029,5863,1786,2209,2327,4741,739,582,1172,885,113,236,254,318,1392,1955,1127,772,1098,2016,747,395,606,1146,169,184,202,189,281,898,153,369,683,870,245,154,241,677,38,24,126,186,20943,11062,24730,4543,8596,1115,2851
70217,29070,24212,10266,6669,8738,5145,9073,1875,2870,1108,261,8998,4543,5861,1722,1804,710,574,3009,1683,2254,755,2076,310,179,2175,600,1543,705,1265,98,283,1339,7399,1588,3557,4144,4929,614,1261,884,1986,418,690,116,145,2683,6315,2075,2468,2878,2983,982,740,1007,797,259,451,533,41,1213,1796,937,746,1076,1178,357,398,587,1489,172,138,72,107,282,1893,322,278,696,847,378,327,442,823,66,32,139,144,22920,11971,18731,5057,8015,2226,1297
85992,44043,28811,9084,4054,15026,10246,9844,2873,3569,2199,286,9836,6364,6838,2224,2297,1118,134,3568,1292,2150,606,918,302,248,1130,674,1125,397,462,172,94,1930,13096,2298,7948,4793,5051,698,2175,1122,2447,757,1442,180,106,2431,7405,2992,3372,3488,3350,1356,868,1281,1016,460,658,80,54,1212,2356,869,423,675,1475,301,305,279,639,182,120,82,166,459,671,298,376,660,465,266,131,357,105,76,96,86,8,29560,18576,19957,6100,7246,3791,762
59637,26719,19635,9161,4122,7812,4855,7551,2047,2887,741,826,6806,3863,4947,1114,1992,574,339,2927,1445,2208,475,1499,291,316,1388,485,1139,324,576,80,130,1067,6745,1550,3305,3107,4444,502,1545,936,1951,200,541,379,447,2004,4802,1653,2210,2462,2485,552,562,1213,779,273,301,152,187,1110,1817,850,595,942,1266,215,260,608,891,160,131,156,160,410,978,245,240,499,640,215,109,326,250,31,49,91,39,18933,10648,15845,3960,6954,1686,1611
66846,30947,19743,11000,5156,8128,4584,11262,1769,3121,624,1459,6841,3418,5132,1077,2212,474,589,3507,1748,2945,678,1379,260,483,1306,557,1536,451,647,54,605,1073,7055,1484,3100,3974,7288,546,1223,856,2265,126,498,690,769,2101,4740,1769,1649,2661,2471,574,503,1408,804,239,235,440,149,1633,1874,1125,623,1176,1769,363,315,475,904,140,120,332,151,404,902,269,288,822,714,174,277,226,421,37,17,196,409,19782,10307,20875,3975,7359,1412,3136
63392,26418,19954,11547,5473,7609,4960,8197,1939,2502,881,330,7468,3746,4883,1379,1981,391,106,3027,2112,3499,688,1654,291,276,1532,770,1620,615,725,103,108,1190,6419,1682,3278,3338,4859,603,1336,951,1551,335,546,110,220,2300,5168,1696,2050,2066,2817,633,746,1236,745,192,199,68,38,1318,1709,1177,935,914,2585,233,455,390,1264,178,113,144,132,691,841,462,308,789,831,388,227,340,385,50,53,49,59,19636,11588,18199,4621,6862,1666,820
82637,43601,26245,8712,4079,14418,10464,9766,2982,3356,2269,346,9687,5543,5763,1845,2172,792,443,2571,1257,2607,593,1204,274,206,1559,862,617,352,342,272,75,2010,12408,3364,7100,5049,4717,733,2249,1206,2150,763,1506,171,175,2927,6760,2326,3217,2756,3007,878,967,1302,870,310,482,86,357,1099,1472,642,615,1160,1447,293,300,254,950,124,150,71,135,899,660,525,337,167,450,176,176,203,139,36,236,50,25,28235,18126,18753,5772,7074,3607,1070
67523,30777,22948,10099,3699,9489,5489,7953,2373,2862,1792,819,8051,5192,5459,1392,1990,649,215,3151,1593,2399,829,1708,178,241,1131,672,785,434,427,169,81,1463,8026,1618,3871,3246,4707,622,1751,914,1948,757,1035,266,553,2484,5567,2700,2492,2601,2858,838,554,1037,953,333,316,162,53,1321,1830,951,642,762,1637,447,382,546,1162,85,93,123,118,395,736,299,373,469,316,239,195,193,234,84,85,29,52,21822,12946,16596,5028,6987,2788,1356
65938,30938,19751,11352,3897,8998,4055,10105,1443,4076,544,1717,6797,3587,5759,1048,1564,522,474,3462,2056,3129,665,1429,266,345,1116,523,1083,325,600,101,149,1264,7734,1139,2916,3266,6839,390,1053,946,3130,210,334,864,853,1835,4962,1768,1819,2213,3546,554,494,847,717,167,355,404,70,1553,1909,1233,823,1366,1763,364,301,540,889,137,129,157,188,376,740,296,227,204,879,183,142,387,213,33,68,77,72,20373,10221,20076,3481,7669,1433,2685
69544,31845,22758,10784,4157,9252,5288,9909,2162,3536,887,811,8079,4458,5695,1619,2178,331,398,3159,1888,2910,678,1477,281,391,1014,525,1267,332,750,104,165,1519,7733,1818,3470,4176,5733,551,1611,1228,2308,236,651,451,360,2501,5578,2055,2403,2223,3472,851,768,1241,937,133,198,160,238,1342,1817,1077,811,1313,1597,363,315,539,938,160,121,181,210,419,595,200,325,836,431,165,167,331,419,67,37,27,138,21504,12159,19781,4791,7941,1603,1765
